OBJECTID,lat,lon,Count
1,38.79815112160,-77.03683433780,0
2,38.79815248890,-77.03222961470,0
3,38.80175452830,-77.03683620510,0
4,38.80175589560,-77.03223125010,0
5,38.80535793310,-77.03683807260,0
6,38.80535930050,-77.03223288560,0
7,38.80536048600,-77.02762769850,0
8,38.80536148980,-77.02302251120,0
9,38.80896133600,-77.03683994030,0
10,38.80896270330,-77.03223452130,0
11,38.80896388880,-77.02762910220,0
12,38.80896489260,-77.02302368300,0
13,38.81256473690,-77.03684180810,0
14,38.81256610420,-77.03223615720,0
15,38.81256728970,-77.02763050610,0
16,38.81256829340,-77.02302485490,0
17,38.81256911540,-77.01841920350,0
18,38.81256975550,-77.01381355210,0
19,38.81616813580,-77.03684367620,0
20,38.81616950310,-77.03223779320,0
21,38.81617068860,-77.02763191010,0
22,38.81617169230,-77.02302602690,0
23,38.81617251420,-77.01842014360,0
24,38.81617315430,-77.01381426010,0
25,38.81976998360,-77.04145165920,0
26,38.81977153280,-77.03684554440,0
27,38.81977290010,-77.03223942940,0
28,38.81977408550,-77.02763331430,0
29,38.81977508920,-77.02302719910,0
30,38.81977591110,-77.01842108370,0
31,38.81977655110,-77.01381496820,0
32,38.81977700930,-77.00920885270,0
33,38.81977728570,-77.00460273710,0
34,38.82337337860,-77.04145375960,0
35,38.82337492770,-77.03684741280,0
36,38.82337629500,-77.03224106580,0
37,38.82337748040,-77.02763471860,0
38,38.82337848410,-77.02302837130,0
39,38.82337930590,-77.01842202390,0
40,38.82337994590,-77.01381567640,0
41,38.82338040410,-77.00920932880,0
42,38.82338068040,-77.00460298120,0
43,38.82697832060,-77.03684928140,0
44,38.82697968790,-77.03224270230,0
45,38.82698087330,-77.02763612310,0
46,38.82698187690,-77.02302954370,0
47,38.82698269870,-77.01842296420,0
48,38.82698333870,-77.01381638460,0
49,38.82698379680,-77.00920980500,0
50,38.82698407310,-77.00460322520,0
51,38.82698416760,-76.99999664550,0
52,38.82698408820,-76.99539007550,0
53,38.83057843130,-77.04606477200,0
54,38.83058016230,-77.04145796120,0
55,38.83058171140,-77.03685115020,0
56,38.83058307870,-77.03224433900,0
57,38.83058426420,-77.02763752770,0
58,38.83058526780,-77.02303071620,0
59,38.83058608950,-77.01842390460,0
60,38.83058672940,-77.01381709290,0
61,38.83058718750,-77.00921028120,0
62,38.83058746370,-77.00460346940,0
63,38.83058755810,-76.99999665750,0
64,38.83058747860,-76.99538985510,0
65,38.83418182010,-77.04606710520,0
66,38.83418355110,-77.04146006230,0
67,38.83418510020,-77.03685301920,0
68,38.83418646750,-77.03224597590,0
69,38.83418765300,-77.02763893240,0
70,38.83418865650,-77.02303188880,0
71,38.83418947830,-77.01842484510,0
72,38.83419011810,-77.01381780130,0
73,38.83419057610,-77.00921075740,0
74,38.83419085230,-77.00460371350,0
75,38.83419094660,-76.99999666950,0
76,38.83419086700,-76.99538963460,0
77,38.83419060540,-76.99078259980,0
78,38.83419016210,-76.98617556500,0
79,38.83778520690,-77.04606943870,0
80,38.83778693790,-77.04146216360,0
81,38.83778848700,-77.03685488840,0
82,38.83778985430,-77.03224761290,0
83,38.83779103970,-77.02764033730,0
84,38.83779204320,-77.02303306160,0
85,38.83779286490,-77.01842578570,0
86,38.83779350480,-77.01381850980,0
87,38.83779396270,-77.00921123370,0
88,38.83779423880,-77.00460395760,0
89,38.83779433310,-76.99999668150,0
90,38.83779425330,-76.99538941420,0
91,38.83779399160,-76.99078214690,0
92,38.83779354810,-76.98617487960,0
93,38.84138859150,-77.04607177240,0
94,38.84139032250,-77.04146426520,0
95,38.84139187170,-77.03685675770,0
96,38.84139323890,-77.03224925010,0
97,38.84139442430,-77.02764174230,0
98,38.84139542790,-77.02303423440,0
99,38.84139624950,-77.01842672640,0
100,38.84139688930,-77.01381921830,0
101,38.84139734720,-77.00921171010,0
102,38.84139762330,-77.00460420180,0
103,38.84139771750,-76.99999669350,0
104,38.84139763750,-76.99538919370,0
105,38.84139737570,-76.99078169400,0
106,38.84139693200,-76.98617419420,0
107,38.84139630640,-76.98156669450,0
108,38.84139549900,-76.97695919500,0
109,38.84499662150,-77.03225088750,0
110,38.84499780690,-77.02764314750,0
111,38.84499881040,-77.02303540740,0
112,38.84499963200,-77.01842766720,0
113,38.84500027180,-77.01381992690,0
114,38.84500072960,-77.00921218650,0
115,38.84500100560,-77.00460444600,0
116,38.84500109970,-76.99999670560,0
117,38.84500101960,-76.99538897320,0
