X,Y,OBJECTID,METERTYPE,METERID,ROUTEID,SIDE,MEAS,LON,LAT,DDOTLON,DDOTLAT,DDOTMDSPX,DDOTMDSPY,STREET,BLOCK,METERMODEL,METERSTATUS,METERSTATE,METERSPACES,ISADA,PMZONE,TRANSMISSIONDATE,ERRORCODES
-76.996134182,38.936290906799996,2012282,Single,54583610,12050202,West,318.09875488,-76.9961319,38.93628311,,,-76.99607086,38.93629837,JOHN MCCORMACK RD NE,3600,IPS Cash and Card,Inactive,Installed,1,N,21530,202002123354,
-77.018206024099996,38.887691652400001,2012283,Single,63010411,14047972,North,793.02099609,-77.01820374,38.88768387,,,-77.01820374,38.88756943,INDEPENDENCE AVE SW,400,Duncan Single-Space,Unknown,Removed,1,N,21375,202002123354,NoPolicy_
-76.988993061599999,38.876583253299998,2012284,Single,61511224,13057852,North,1744.9276123,-76.98899078,38.87657547,,,-76.98899078,38.87649155,M ST SE,1200,IPS Cash and Card,Unknown,Installed,1,N,21214,202002123354,
-76.9889854332,38.876415406500001,2012285,Single,61511225,13057852,South,1745.51257324,-76.98898315,38.87640762,,,-76.98898315,38.87649155,M ST SE,1200,IPS Cash and Card,Active,Installed,1,N,21213,202002123354,
-76.989282979099997,38.876583253299998,2012286,Single,61511222,13057852,North,1719.77111816,-76.9892807,38.87657547,,,-76.9892807,38.87649155,M ST SE,1200,IPS Cash and Card,Active,Installed,1,N,21214,202002123354,
-76.989015951200003,38.876415406500001,2012287,Single,61511223,13057852,South,1742.86450195,-76.98901367,38.87640762,,,-76.98901367,38.87649155,M ST SE,1200,IPS Cash and Card,Active,Installed,1,N,21213,202002123354,
-76.989496602800003,38.876583253,2012288,Single,61511220,13057852,North,1701.23461914,-76.98949432,38.87657547,,,-76.98949432,38.87648773,M ST SE,1200,IPS Cash and Card,Active,Installed,1,N,21214,202002123354,
-76.989015951200003,38.876415406500001,2012289,Single,61511221,13057852,South,1742.86450195,-76.98901367,38.87640762,,,-76.98901367,38.87649155,M ST SE,1200,IPS Cash and Card,Unknown,Installed,1,N,21213,202002123354,
-77.021517181799993,38.883186493700002,2012290,Single,61320636,14031332,South,888.88684082,-77.02151489,38.88317871,,,-77.02151489,38.88323975,E ST SW,600,IPS Cash and Card,Unknown,Installed,1,N,21362,202002123354,
-76.947359444200004,38.897102514899998,2012291,Single,72294030,12061162,Northwest,956.69781494,-76.94735718,38.89709473,,,-76.94726563,38.89705276,MINNESOTA AVE NE,4000,IPS Cash and Card,Active,Removed,1,N,21934,202002123354,NoPolicy_
-77.022211459,38.921672982399997,2012292,Single,12122402,11040042,West,601.53308105,-77.02220917,38.92166519,,,-77.02216339,38.92166901,GEORGIA AVE NW,2400,IPS Cash and Card,Inactive,Installed,1,N,23716,202002123354,
-77.022188571,38.9225656216,2012293,Single,12122403,11040042,East,699.77478027,-77.02218628,38.92255783,,,-77.02228546,38.9225502,GEORGIA AVE NW,2400,IPS Cash and Card,Active,Installed,1,N,22673,202002123354,
-77.032518772800003,38.903690495299998,2012294,Single,21111408,11053492,South,1734.60913086,-77.03251648,38.90368271,,,-77.03251648,38.90373611,L ST NW,1400,IPS Cash and Card,Active,Installed,1,N,22882,202002123354,
